State, First Year, Last Year, Injury Intent, Total Deaths, Avg. Yearly Deaths, Population," Age adjusted  Rate (per 100,000)"
Alabama,2016,2020,Firearm Suicide,2760,552,24450635,10.72371006
Alabama,2016,2020,Undetermined Firearm Death,63,13,24450635,0.26935
Alabama,2016,2020,Firearm Homicide,2478,496,24450635,10.79133034
Alabama,2016,2020,Shootings by Police,35,7,24450635,0.14144
Alabama,2016,2020,Unintentional Firearm Death,115,23,24450635,0.48142
Alabama,2016,2020,All Firearm Deaths,5451,1090,24450635,22.40101051
Alaska,2016,2020,Undetermined Firearm Death,31,6,3681830,0.79489
Alaska,2016,2020,Shootings by Police,24,5,3681830,0.66226
Alaska,2016,2020,Unintentional Firearm Death,16,3,3681830,
Alaska,2016,2020,All Firearm Deaths,866,173,3681830,23.38306046
Alaska,2016,2020,Firearm Suicide,589,118,3681830,15.77952003
Alaska,2016,2020,Firearm Homicide,206,41,3681830,5.683859825
Arizona,2016,2020,Undetermined Firearm Death,83,17,35819105,0.2158
Arizona,2016,2020,Shootings by Police,91,18,35819105,0.27471
Arizona,2016,2020,Firearm Suicide,3988,798,35819105,10.41203022
Arizona,2016,2020,Firearm Homicide,1567,313,35819105,4.598780155
Arizona,2016,2020,All Firearm Deaths,5776,1155,35819105,15.61503029
Arizona,2016,2020,Unintentional Firearm Death,47,9,35819105,0.10993
Arkansas,2016,2020,Unintentional Firearm Death,65,13,15054678,0.4607
Arkansas,2016,2020,Undetermined Firearm Death,43,9,15054678,0.30683
Arkansas,2016,2020,All Firearm Deaths,2980,596,15054678,19.76330948
Arkansas,2016,2020,Firearm Homicide,1058,212,15054678,7.485449791
Arkansas,2016,2020,Shootings by Police,41,8,15054678,0.3012
Arkansas,2016,2020,Firearm Suicide,1773,355,15054678,11.26467037
California,2016,2020,All Firearm Deaths,15802,3160,197224016,7.800879955
California,2016,2020,Firearm Suicide,7972,1594,197224016,3.825670004
California,2016,2020,Undetermined Firearm Death,85,17,197224016,0.04523
California,2016,2020,Shootings by Police,416,83,197224016,0.20046
California,2016,2020,Firearm Homicide,7155,1431,197224016,3.656379938
California,2016,2020,Unintentional Firearm Death,174,35,197224016,0.09638
Colorado,2016,2020,Firearm Homicide,908,182,28409718,3.209899902
Colorado,2016,2020,All Firearm Deaths,4248,850,28409718,14.50559044
Colorado,2016,2020,Firearm Suicide,3166,633,28409718,10.67597961
Colorado,2016,2020,Undetermined Firearm Death,31,6,28409718,0.09057
Colorado,2016,2020,Shootings by Police,106,21,28409718,0.36022
