incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",460726,2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,33.909,,-118.333,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",479580,2013-02-03,California,Yuba (county),5800 block of Poplar Avenue,1,3,39.1236,,-121.583,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",480311,2013-02-11,California,Vallejo,800 block of Humboldt Street,1,4,38.1072,,-122.228,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Drive-by (car to street, car to car)||Spree Shooting (multiple victims, multiple locations)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",480358,2013-02-19,California,Orange (county),Katella Avenue,4,3,33.8031,,-117.943,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",481213,2013-03-04,California,Los Banos,800 block of La Mesa Lane,1,3,37.0857,,-120.828,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",482801,2013-03-13,California,Oceanside,504 Calle Montecito,2,2,33.2498,Libby Lake Park,-117.309,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",482934,2013-03-17,California,Stockton,1800 block of East Sonora Street,2,3,37.9531,,-121.266,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",483835,2013-03-30,California,Merced (county),9200 block of Westside Boulevard,3,2,37.3603,,-120.654,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",483878,2013-04-07,California,Long Beach,300 block of East Home Street,1,3,33.8479,,-118.19,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Drug involvement",486109,2013-05-10,California,Los Angeles,1600 block of West 205th Street,3,1,33.8447,,-118.307,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",486971,2013-05-24,California,Bakersfield,3700 block of Columbus Street,2,2,35.3998,,-118.952,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",489314,2013-06-01,California,Vallejo,1st block of Linfield Drive,2,2,38.1472,,-122.24,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||School Incident||School Shooting - university/college||Drive-by (car to street, car to car)||Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence||Kidnapping/abductions/hostage||Car-jacking||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",489581,2013-06-07,California,Santa Monica,2036 Yorkshire Ave,6,1,34.026,Santa Monica College,-118.461,2.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",489096,2013-06-23,California,Sacramento,Sea Drift Way,1,3,38.4655,,-121.459,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",490048,2013-06-27,California,Three Rivers,39553-39833 Sierra Dr,2,2,36.4144,Cobble Knoll Recreation Area,-118.925,1.0
