,Injury_Intent,State,Year,Total_Deaths
440,Firearm Suicide,United States,2011,19990.0
441,Firearm Suicide,United States,2012,20666.0
442,Firearm Suicide,United States,2013,21175.0
443,Firearm Suicide,United States,2014,21386.0
444,Firearm Suicide,United States,2015,22018.0
445,Firearm Suicide,United States,2016,22938.0
446,Firearm Suicide,United States,2017,23854.0
447,Firearm Suicide,United States,2018,24432.0
448,Firearm Suicide,United States,2019,23941.0
449,Firearm Suicide,United States,2020,24292.0
