Injury_Intent,State,Year,Total_Deaths
Firearm Suicide,Alabama,2011,452.0
Firearm Suicide,Alabama,2012,500.0
Firearm Suicide,Alabama,2013,504.0
Firearm Suicide,Alabama,2014,479.0
Firearm Suicide,Alabama,2015,528.0
Firearm Suicide,Alabama,2016,550.0
Firearm Suicide,Alabama,2017,573.0
Firearm Suicide,Alabama,2018,552.0
Firearm Suicide,Alabama,2019,543.0
Firearm Suicide,Alabama,2020,542.0
Firearm Suicide,Alaska,2011,99.0
Firearm Suicide,Alaska,2012,98.0
Firearm Suicide,Alaska,2013,120.0
Firearm Suicide,Alaska,2014,115.0
Firearm Suicide,Alaska,2015,123.0
Firearm Suicide,Alaska,2016,113.0
Firearm Suicide,Alaska,2017,119.0
Firearm Suicide,Alaska,2018,107.0
Firearm Suicide,Alaska,2019,117.0
Firearm Suicide,Alaska,2020,133.0
Firearm Suicide,Arizona,2011,674.0
Firearm Suicide,Arizona,2012,663.0
Firearm Suicide,Arizona,2013,655.0
Firearm Suicide,Arizona,2014,683.0
Firearm Suicide,Arizona,2015,707.0
Firearm Suicide,Arizona,2016,755.0
Firearm Suicide,Arizona,2017,792.0
Firearm Suicide,Arizona,2018,802.0
Firearm Suicide,Arizona,2019,809.0
Firearm Suicide,Arizona,2020,830.0
Firearm Suicide,Arkansas,2011,299.0
Firearm Suicide,Arkansas,2012,307.0
Firearm Suicide,Arkansas,2013,322.0
Firearm Suicide,Arkansas,2014,323.0
Firearm Suicide,Arkansas,2015,342.0
Firearm Suicide,Arkansas,2016,331.0
Firearm Suicide,Arkansas,2017,392.0
Firearm Suicide,Arkansas,2018,345.0
Firearm Suicide,Arkansas,2019,341.0
Firearm Suicide,Arkansas,2020,364.0
Firearm Suicide,California,2011,1564.0
Firearm Suicide,California,2012,1549.0
Firearm Suicide,California,2013,1571.0
Firearm Suicide,California,2014,1582.0
Firearm Suicide,California,2015,1559.0
Firearm Suicide,California,2016,1595.0
Firearm Suicide,California,2017,1610.0
Firearm Suicide,California,2018,1629.0
Firearm Suicide,California,2019,1586.0
Firearm Suicide,California,2020,1552.0
Firearm Suicide,Colorado,2011,443.0
Firearm Suicide,Colorado,2012,533.0
Firearm Suicide,Colorado,2013,489.0
Firearm Suicide,Colorado,2014,539.0
Firearm Suicide,Colorado,2015,541.0
Firearm Suicide,Colorado,2016,613.0
Firearm Suicide,Colorado,2017,592.0
Firearm Suicide,Colorado,2018,660.0
Firearm Suicide,Colorado,2019,647.0
Firearm Suicide,Colorado,2020,654.0
Firearm Suicide,Connecticut,2011,111.0
Firearm Suicide,Connecticut,2012,111.0
Firearm Suicide,Connecticut,2013,92.0
Firearm Suicide,Connecticut,2014,125.0
Firearm Suicide,Connecticut,2015,104.0
Firearm Suicide,Connecticut,2016,110.0
Firearm Suicide,Connecticut,2017,109.0
Firearm Suicide,Connecticut,2018,127.0
Firearm Suicide,Connecticut,2019,118.0
Firearm Suicide,Connecticut,2020,109.0
Firearm Suicide,Delaware,2011,46.0
Firearm Suicide,Delaware,2012,46.0
Firearm Suicide,Delaware,2013,60.0
Firearm Suicide,Delaware,2014,59.0
Firearm Suicide,Delaware,2015,55.0
Firearm Suicide,Delaware,2016,65.0
Firearm Suicide,Delaware,2017,50.0
Firearm Suicide,Delaware,2018,58.0
Firearm Suicide,Delaware,2019,45.0
Firearm Suicide,Delaware,2020,58.0
Firearm Suicide,District of Columbia,2011,
Firearm Suicide,District of Columbia,2012,10.0
Firearm Suicide,District of Columbia,2013,
Firearm Suicide,District of Columbia,2014,14.0
Firearm Suicide,District of Columbia,2015,11.0
Firearm Suicide,District of Columbia,2016,
Firearm Suicide,District of Columbia,2017,
Firearm Suicide,District of Columbia,2018,
Firearm Suicide,District of Columbia,2019,12.0
Firearm Suicide,District of Columbia,2020,
Firearm Suicide,Florida,2011,1490.0
Firearm Suicide,Florida,2012,1550.0
Firearm Suicide,Florida,2013,1566.0
Firearm Suicide,Florida,2014,1538.0
Firearm Suicide,Florida,2015,1630.0
Firearm Suicide,Florida,2016,1672.0
Firearm Suicide,Florida,2017,1723.0
Firearm Suicide,Florida,2018,1869.0
Firearm Suicide,Florida,2019,1808.0
Firearm Suicide,Florida,2020,1730.0
Firearm Suicide,Georgia,2011,742.0
Firearm Suicide,Georgia,2012,750.0
Firearm Suicide,Georgia,2013,747.0
Firearm Suicide,Georgia,2014,841.0
Firearm Suicide,Georgia,2015,823.0
Firearm Suicide,Georgia,2016,871.0
Firearm Suicide,Georgia,2017,908.0
Firearm Suicide,Georgia,2018,987.0
Firearm Suicide,Georgia,2019,955.0
Firearm Suicide,Georgia,2020,939.0
Firearm Suicide,Hawaii,2011,42.0
Firearm Suicide,Hawaii,2012,43.0
Firearm Suicide,Hawaii,2013,28.0
Firearm Suicide,Hawaii,2014,33.0
Firearm Suicide,Hawaii,2015,44.0
Firearm Suicide,Hawaii,2016,37.0
Firearm Suicide,Hawaii,2017,30.0
Firearm Suicide,Hawaii,2018,30.0
Firearm Suicide,Hawaii,2019,41.0
Firearm Suicide,Hawaii,2020,31.0
Firearm Suicide,Idaho,2011,167.0
Firearm Suicide,Idaho,2012,176.0
Firearm Suicide,Idaho,2013,200.0
Firearm Suicide,Idaho,2014,182.0
Firearm Suicide,Idaho,2015,215.0
Firearm Suicide,Idaho,2016,215.0
Firearm Suicide,Idaho,2017,244.0
Firearm Suicide,Idaho,2018,250.0
Firearm Suicide,Idaho,2019,223.0
Firearm Suicide,Idaho,2020,277.0
Firearm Suicide,Illinois,2011,461.0
Firearm Suicide,Illinois,2012,490.0
Firearm Suicide,Illinois,2013,496.0
Firearm Suicide,Illinois,2014,533.0
Firearm Suicide,Illinois,2015,495.0
Firearm Suicide,Illinois,2016,506.0
Firearm Suicide,Illinois,2017,577.0
Firearm Suicide,Illinois,2018,573.0
Firearm Suicide,Illinois,2019,540.0
