State,Year,Injury_Intent,Total_Deaths,Population,"Age-adjusted Rate (per 100,000)"
Alabama,2011,All Firearm Deaths,785,4802740,16.021209716796875
Alabama,2011,Firearm Suicide,452,4802740,8.97016
Alabama,2011,Firearm Homicide (including Legal Intervention),293,4802740,6.23522
Alabama,2012,All Firearm Deaths,831,4822023,17.107410430908203
Alabama,2012,Firearm Suicide,500,4822023,10.01996
Alabama,2012,Firearm Homicide (including Legal Intervention),308,4822023,6.62914
Alabama,2013,All Firearm Deaths,860,4833722,17.642070770263672
Alabama,2013,Firearm Suicide,504,4833722,9.89351
Alabama,2013,Firearm Homicide (including Legal Intervention),324,4833722,7.06835
Alabama,2014,All Firearm Deaths,815,4849377,16.878870010375977
Alabama,2014,Firearm Suicide,479,4849377,9.54843
Alabama,2014,Firearm Homicide (including Legal Intervention),298,4849377,6.52929
Alabama,2015,All Firearm Deaths,958,4858979,19.630870819091797
Alabama,2015,Firearm Suicide,528,4858979,10.39175
Alabama,2015,Firearm Homicide (including Legal Intervention),396,4858979,8.55102
Alabama,2016,All Firearm Deaths,1046,4863300,21.4885196685791
Alabama,2016,Firearm Suicide,550,4863300,10.72902
Alabama,2016,Firearm Homicide (including Legal Intervention),466,4863300,10.14309
Alabama,2017,All Firearm Deaths,1124,4874747,22.89185905456543
Alabama,2017,Firearm Suicide,573,4874747,11.00419
Alabama,2017,Firearm Homicide (including Legal Intervention),514,4874747,11.12823
Alabama,2018,All Firearm Deaths,1064,4887871,21.84132957458496
Alabama,2018,Firearm Suicide,552,4887871,10.73734
Alabama,2018,Firearm Homicide (including Legal Intervention),472,4887871,10.2454
Alabama,2019,All Firearm Deaths,1076,4903185,22.177879333496094
Alabama,2019,Firearm Suicide,543,4903185,10.58708
Alabama,2019,Firearm Homicide (including Legal Intervention),491,4903185,10.745
Alabama,2020,All Firearm Deaths,1141,4921532,23.581480026245117
Alabama,2020,Firearm Suicide,542,4921532,10.54758
Alabama,2020,Firearm Homicide (including Legal Intervention),570,4921532,12.47292
Alaska,2011,All Firearm Deaths,126,722718,17.50950050354004
Alaska,2011,Firearm Suicide,99,722718,13.95301
Alaska,2011,Firearm Homicide (including Legal Intervention),20,722718,2.56756
Alaska,2012,All Firearm Deaths,132,731449,17.75728988647461
Alaska,2012,Firearm Suicide,98,731449,13.32558
Alaska,2012,Firearm Homicide (including Legal Intervention),20,731449,2.64342
Alaska,2013,All Firearm Deaths,144,735132,19.75160026550293
Alaska,2013,Firearm Suicide,120,735132,16.71218
Alaska,2013,Firearm Homicide (including Legal Intervention),19,735132,
Alaska,2014,All Firearm Deaths,145,736732,19.174829483032227
Alaska,2014,Firearm Suicide,115,736732,15.33667
Alaska,2014,Firearm Homicide (including Legal Intervention),21,736732,2.5959
Alaska,2015,All Firearm Deaths,177,738432,23.376859664916992
Alaska,2015,Firearm Suicide,123,738432,16.455
Alaska,2015,Firearm Homicide (including Legal Intervention),44,738432,5.5732
Alaska,2016,All Firearm Deaths,177,741894,23.323959350585938
Alaska,2016,Firearm Suicide,113,741894,14.82818
Alaska,2016,Firearm Homicide (including Legal Intervention),51,741894,6.92756
Alaska,2017,All Firearm Deaths,180,739795,24.51740074157715
Alaska,2017,Firearm Suicide,119,739795,16.01154
Alaska,2017,Firearm Homicide (including Legal Intervention),51,739795,7.17679
Alaska,2018,All Firearm Deaths,155,737438,20.999849319458008
Alaska,2018,Firearm Suicide,107,737438,14.5012
Alaska,2018,Firearm Homicide (including Legal Intervention),41,737438,5.58582
Alaska,2019,All Firearm Deaths,179,731545,24.399629592895508
Alaska,2019,Firearm Suicide,117,731545,15.68411
Alaska,2019,Firearm Homicide (including Legal Intervention),55,731545,7.70585
Alaska,2020,All Firearm Deaths,175,731158,23.52235984802246
Alaska,2020,Firearm Suicide,133,731158,17.78175
Alaska,2020,Firearm Homicide (including Legal Intervention),32,731158,4.34998
Arizona,2011,All Firearm Deaths,964,6482505,14.730520248413086
Arizona,2011,Firearm Suicide,674,6482505,10.09938
Arizona,2011,Firearm Homicide (including Legal Intervention),271,6482505,4.30613
Arizona,2012,All Firearm Deaths,946,6553255,14.14153003692627
Arizona,2012,Firearm Suicide,663,6553255,9.68298
Arizona,2012,Firearm Homicide (including Legal Intervention),267,6553255,4.19625
Arizona,2013,All Firearm Deaths,941,6626624,14.08944034576416
Arizona,2013,Firearm Suicide,655,6626624,9.7354
Arizona,2013,Firearm Homicide (including Legal Intervention),264,6626624,4.04529
Arizona,2014,All Firearm Deaths,927,6731484,13.509340286254883
Arizona,2014,Firearm Suicide,683,6731484,9.69032
Arizona,2014,Firearm Homicide (including Legal Intervention),224,6731484,3.52931
Arizona,2015,All Firearm Deaths,970,6828065,13.791810035705566
Arizona,2015,Firearm Suicide,707,6828065,9.81992
Arizona,2015,Firearm Homicide (including Legal Intervention),250,6828065,3.78878
Arizona,2016,All Firearm Deaths,1094,6931071,15.22500991821289
Arizona,2016,Firearm Suicide,755,6931071,10.17039
Arizona,2016,Firearm Homicide (including Legal Intervention),316,6931071,4.73561
Arizona,2017,All Firearm Deaths,1134,7016270,15.762519836425781
Arizona,2017,Firearm Suicide,792,7016270,10.65977
Arizona,2017,Firearm Homicide (including Legal Intervention),314,7016270,4.69043
Arizona,2018,All Firearm Deaths,1147,7171646,15.338910102844238
Arizona,2018,Firearm Suicide,802,7171646,10.31666
Arizona,2018,Firearm Homicide (including Legal Intervention),318,7171646,4.66193
Arizona,2019,All Firearm Deaths,1136,7278717,15.121939659118652
Arizona,2019,Firearm Suicide,809,7278717,10.40419
Arizona,2019,Firearm Homicide (including Legal Intervention),298,7278717,4.29288
Arizona,2020,All Firearm Deaths,1265,7421401,16.66766929626465
Arizona,2020,Firearm Suicide,830,7421401,10.42477
Arizona,2020,Firearm Homicide (including Legal Intervention),412,7421401,5.90597
Arkansas,2011,All Firearm Deaths,462,2937979,16.070039749145508
Arkansas,2011,Firearm Suicide,299,2937979,10.22185
Arkansas,2011,Firearm Homicide (including Legal Intervention),149,2937979,5.38489
Arkansas,2012,All Firearm Deaths,490,2949131,16.632999420166016
Arkansas,2012,Firearm Suicide,307,2949131,10.11836
Arkansas,2012,Firearm Homicide (including Legal Intervention),171,2949131,6.15553
Arkansas,2013,All Firearm Deaths,501,2959373,16.808589935302734
Arkansas,2013,Firearm Suicide,322,2959373,10.58134
Arkansas,2013,Firearm Homicide (including Legal Intervention),154,2959373,5.42102
Arkansas,2014,All Firearm Deaths,496,2966369,16.566919326782227
Arkansas,2014,Firearm Suicide,323,2966369,10.43892
Arkansas,2014,Firearm Homicide (including Legal Intervention),161,2966369,5.73533
Arkansas,2015,All Firearm Deaths,520,2978204,16.949989318847656
Arkansas,2015,Firearm Suicide,342,2978204,10.8425
Arkansas,2015,Firearm Homicide (including Legal Intervention),158,2978204,5.44414
Arkansas,2016,All Firearm Deaths,541,2988248,17.77178955078125
Arkansas,2016,Firearm Suicide,331,2988248,10.42082
Arkansas,2016,Firearm Homicide (including Legal Intervention),188,2988248,6.61527
Arkansas,2017,All Firearm Deaths,613,3004279,20.29990005493164
Arkansas,2017,Firearm Suicide,392,3004279,12.47304
Arkansas,2017,Firearm Homicide (including Legal Intervention),198,3004279,7.01702
Arkansas,2018,All Firearm Deaths,573,3013825,18.946609497070312
Arkansas,2018,Firearm Suicide,345,3013825,11.04499
Arkansas,2018,Firearm Homicide (including Legal Intervention),208,3013825,7.26519
Arkansas,2019,All Firearm Deaths,580,3017804,19.32387924194336
Arkansas,2019,Firearm Suicide,341,3017804,10.82887
Arkansas,2019,Firearm Homicide (including Legal Intervention),217,3017804,7.7185
Arkansas,2020,All Firearm Deaths,673,3030522,22.55129051208496
Arkansas,2020,Firearm Suicide,364,3030522,11.54316
Arkansas,2020,Firearm Homicide (including Legal Intervention),288,3030522,10.28697
California,2011,All Firearm Deaths,3004,37691912,7.793540000915527
California,2011,Firearm Suicide,1564,37691912,4.08293
California,2011,Firearm Homicide (including Legal Intervention),1397,37691912,3.6093
California,2012,All Firearm Deaths,3068,38041430,7.9211602210998535
California,2012,Firearm Suicide,1549,38041430,4.01252
California,2012,Firearm Homicide (including Legal Intervention),1474,38041430,3.80116
California,2013,All Firearm Deaths,3026,38332521,7.717179775238037
California,2013,Firearm Suicide,1571,38332521,3.97364
California,2013,Firearm Homicide (including Legal Intervention),1409,38332521,3.61774
California,2014,All Firearm Deaths,2942,38802500,7.383359909057617
California,2014,Firearm Suicide,1582,38802500,3.9139
California,2014,Firearm Homicide (including Legal Intervention),1322,38802500,3.37967
California,2015,All Firearm Deaths,3095,39144818,7.680650234222412
California,2015,Firearm Suicide,1559,39144818,3.78641
California,2015,Firearm Homicide (including Legal Intervention),1499,39144818,3.79946
California,2016,All Firearm Deaths,3184,39250017,7.939390182495117
California,2016,Firearm Suicide,1595,39250017,3.88989
California,2016,Firearm Homicide (including Legal Intervention),1541,39250017,3.91606
California,2017,All Firearm Deaths,3184,39536653,7.8942999839782715
California,2017,Firearm Suicide,1610,39536653,3.83437
California,2017,Firearm Homicide (including Legal Intervention),1521,39536653,3.88044
California,2018,All Firearm Deaths,3040,39557045,7.493790149688721
California,2018,Firearm Suicide,1629,39557045,3.89421
California,2018,Firearm Homicide (including Legal Intervention),1356,39557045,3.44568
California,2019,All Firearm Deaths,2945,39512223,7.219470024108887
California,2019,Firearm Suicide,1586,39512223,3.73522
California,2019,Firearm Homicide (including Legal Intervention),1322,39512223,3.37381
California,2020,All Firearm Deaths,3449,39368078,8.544690132141113
California,2020,Firearm Suicide,1552,39368078,3.62697
California,2020,Firearm Homicide (including Legal Intervention),1831,39368078,4.72483
Colorado,2011,All Firearm Deaths,573,5116796,10.944709777832031
Colorado,2011,Firearm Suicide,443,5116796,8.40915
Colorado,2011,Firearm Homicide (including Legal Intervention),113,5116796,2.18915
Colorado,2012,All Firearm Deaths,672,5187582,12.571889877319336
Colorado,2012,Firearm Suicide,533,5187582,9.87073
Colorado,2012,Firearm Homicide (including Legal Intervention),121,5187582,2.33831
Colorado,2013,All Firearm Deaths,619,5268367,11.519829750061035
Colorado,2013,Firearm Suicide,489,5268367,9.03949
Colorado,2013,Firearm Homicide (including Legal Intervention),114,5268367,2.18628
Colorado,2014,All Firearm Deaths,663,5355866,12.21028995513916
Colorado,2014,Firearm Suicide,539,5355866,9.86364
Colorado,2014,Firearm Homicide (including Legal Intervention),112,5355866,2.07606
Colorado,2015,All Firearm Deaths,701,5456574,12.59451961517334
Colorado,2015,Firearm Suicide,541,5456574,9.69474
Colorado,2015,Firearm Homicide (including Legal Intervention),149,5456574,2.72171
Colorado,2016,All Firearm Deaths,812,5540545,14.30951976776123
Colorado,2016,Firearm Suicide,613,5540545,10.69891
Colorado,2016,Firearm Homicide (including Legal Intervention),180,5540545,3.27538
Colorado,2017,All Firearm Deaths,779,5607154,13.389599800109863
Colorado,2017,Firearm Suicide,592,5607154,10.11491
Colorado,2017,Firearm Homicide (including Legal Intervention),179,5607154,3.17598
Colorado,2018,All Firearm Deaths,889,5695564,15.178119659423828
Colorado,2018,Firearm Suicide,660,5695564,11.11524
Colorado,2018,Firearm Homicide (including Legal Intervention),213,5695564,3.77439
Colorado,2019,All Firearm Deaths,846,5758736,14.209150314331055
Colorado,2019,Firearm Suicide,647,5758736,10.70528
Colorado,2019,Firearm Homicide (including Legal Intervention),185,5758736,3.23358
Colorado,2020,All Firearm Deaths,922,5807719,15.407190322875977
Colorado,2020,Firearm Suicide,654,5807719,10.76844
Colorado,2020,Firearm Homicide (including Legal Intervention),257,5807719,4.44434
Connecticut,2011,All Firearm Deaths,210,3580709,5.810910224914551
Connecticut,2011,Firearm Suicide,111,3580709,2.81889
Connecticut,2011,Firearm Homicide (including Legal Intervention),96,3580709,2.89527
Connecticut,2012,All Firearm Deaths,227,3590347,6.358580112457275
Connecticut,2012,Firearm Suicide,111,3590347,2.90848
Connecticut,2012,Firearm Homicide (including Legal Intervention),114,3590347,3.36902
Connecticut,2013,All Firearm Deaths,161,3596080,4.423620223999023
Connecticut,2013,Firearm Suicide,92,3596080,2.43515
Connecticut,2013,Firearm Homicide (including Legal Intervention),69,3596080,1.97336
Connecticut,2014,All Firearm Deaths,187,3596677,4.954649925231934
Connecticut,2014,Firearm Suicide,125,3596677,3.13172
Connecticut,2014,Firearm Homicide (including Legal Intervention),58,3596677,1.67852
Connecticut,2015,All Firearm Deaths,189,3590886,5.28249979019165
Connecticut,2015,Firearm Suicide,104,3590886,2.73601
Connecticut,2015,Firearm Homicide (including Legal Intervention),83,3590886,2.50193
Connecticut,2016,All Firearm Deaths,172,3576452,4.604730129241943
Connecticut,2016,Firearm Suicide,110,3576452,2.73901
Connecticut,2016,Firearm Homicide (including Legal Intervention),58,3576452,1.73799
Connecticut,2017,All Firearm Deaths,188,3588184,5.138609886169434
Connecticut,2017,Firearm Suicide,109,3588184,2.74947
Connecticut,2017,Firearm Homicide (including Legal Intervention),77,3588184,2.33368
Connecticut,2018,All Firearm Deaths,186,3572665,4.899529933929443
Connecticut,2018,Firearm Suicide,127,3572665,3.10065
Connecticut,2018,Firearm Homicide (including Legal Intervention),56,3572665,1.73018
Connecticut,2019,All Firearm Deaths,190,3565287,5.26938009262085
Connecticut,2019,Firearm Suicide,118,3565287,3.07895
Connecticut,2019,Firearm Homicide (including Legal Intervention),69,3565287,2.10939
Connecticut,2020,All Firearm Deaths,219,3557006,6.008180141448975
Connecticut,2020,Firearm Suicide,109,3557006,2.66526
Connecticut,2020,Firearm Homicide (including Legal Intervention),106,3557006,3.20255
Delaware,2011,All Firearm Deaths,77,907135,8.22107982635498
Delaware,2011,Firearm Suicide,46,907135,4.75828
Delaware,2011,Firearm Homicide (including Legal Intervention),31,907135,3.4628
Delaware,2012,All Firearm Deaths,96,917092,10.53281021118164
Delaware,2012,Firearm Suicide,46,917092,4.81408
Delaware,2012,Firearm Homicide (including Legal Intervention),50,917092,5.71872
Delaware,2013,All Firearm Deaths,100,925749,10.341179847717285
Delaware,2013,Firearm Suicide,60,925749,5.95228
Delaware,2013,Firearm Homicide (including Legal Intervention),39,925749,4.33297
Delaware,2014,All Firearm Deaths,102,935614,11.080909729003906
Delaware,2014,Firearm Suicide,59,935614,5.99068
Delaware,2014,Firearm Homicide (including Legal Intervention),42,935614,4.99158
Delaware,2015,All Firearm Deaths,112,945934,12.121190071105957
Delaware,2015,Firearm Suicide,55,945934,5.53452
